Lexeme:_computeFunctionValue CurrentNode:                 TK_FUNID Line no.:  1  tokenName:     TK_FUNID valueIfNumber:-1.000 parentNodeSymbol:                 function isLeafNode: yes NodeSymbol:                 TK_FUNID 
Lexeme:        ----- CurrentNode:           otherFunctions Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:           otherFunctions isLeafNode:  no NodeSymbol:           otherFunctions 
Lexeme:        ----- CurrentNode:                  program Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                     ROOT isLeafNode:  no NodeSymbol:                  program 
Lexeme:        _main CurrentNode:                  TK_MAIN Line no.:  8  tokenName:      TK_MAIN valueIfNumber:-1.000 parentNodeSymbol:             mainFunction isLeafNode: yes NodeSymbol:                  TK_MAIN 
Lexeme:        ----- CurrentNode:             mainFunction Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                  program isLeafNode:  no NodeSymbol:             mainFunction 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:          typeDefinitions isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:          typeDefinitions Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                    stmts isLeafNode:  no NodeSymbol:          typeDefinitions 
Lexeme:        ----- CurrentNode:                    stmts Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:             mainFunction isLeafNode:  no NodeSymbol:                    stmts 
Lexeme:         type CurrentNode:                  TK_TYPE Line no.:  9  tokenName:      TK_TYPE valueIfNumber:-1.000 parentNodeSymbol:              declaration isLeafNode: yes NodeSymbol:                  TK_TYPE 
Lexeme:        ----- CurrentNode:              declaration Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:             declarations isLeafNode:  no NodeSymbol:              declaration 
Lexeme:          int CurrentNode:                   TK_INT Line no.:  1  tokenName:       TK_INT valueIfNumber:-1.000 parentNodeSymbol:        primitiveDatatype isLeafNode: yes NodeSymbol:                   TK_INT 
Lexeme:        ----- CurrentNode:        primitiveDatatype Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                 dataType isLeafNode:  no NodeSymbol:        primitiveDatatype 
Lexeme:        ----- CurrentNode:                 dataType Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:              declaration isLeafNode:  no NodeSymbol:                 dataType 
Lexeme:            : CurrentNode:                 TK_COLON Line no.:  9  tokenName:     TK_COLON valueIfNumber:-1.000 parentNodeSymbol:              declaration isLeafNode: yes NodeSymbol:                 TK_COLON 
Lexeme:           b5 CurrentNode:                    TK_ID Line no.:  9  tokenName:        TK_ID valueIfNumber:-1.000 parentNodeSymbol:              declaration isLeafNode: yes NodeSymbol:                    TK_ID 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:            global_or_not isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:            global_or_not Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:              declaration isLeafNode:  no NodeSymbol:            global_or_not 
Lexeme:            ; CurrentNode:                   TK_SEM Line no.:  9  tokenName:       TK_SEM valueIfNumber:-1.000 parentNodeSymbol:              declaration isLeafNode: yes NodeSymbol:                   TK_SEM 
Lexeme:        ----- CurrentNode:             declarations Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                    stmts isLeafNode:  no NodeSymbol:             declarations 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:             declarations isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:             declarations Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:             declarations isLeafNode:  no NodeSymbol:             declarations 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:               otherStmts isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:               otherStmts Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                    stmts isLeafNode:  no NodeSymbol:               otherStmts 
Lexeme:       return CurrentNode:                TK_RETURN Line no.:  5  tokenName:    TK_RETURN valueIfNumber:-1.000 parentNodeSymbol:               returnStmt isLeafNode: yes NodeSymbol:                TK_RETURN 
Lexeme:        ----- CurrentNode:               returnStmt Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                    stmts isLeafNode:  no NodeSymbol:               returnStmt 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:           optionalReturn isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:           optionalReturn Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:               returnStmt isLeafNode:  no NodeSymbol:           optionalReturn 
Lexeme:            ; CurrentNode:                   TK_SEM Line no.:  5  tokenName:       TK_SEM valueIfNumber:-1.000 parentNodeSymbol:               returnStmt isLeafNode: yes NodeSymbol:                   TK_SEM 
Lexeme:          end CurrentNode:                   TK_END Line no.: 11  tokenName:       TK_END valueIfNumber:-1.000 parentNodeSymbol:             mainFunction isLeafNode: yes NodeSymbol:                   TK_END 
